"Probe","MeanDecreaseGini","GENE_SYMBOL"
"A_55_P2155372",2.62342382704209,"Gm12695"
"A_55_P2144597",2.582181766951,"9030025P20Rik"
"A_55_P2032081",2.29505986747612,"Dbp"
"A_51_P511899",1.99088070448755,"Mthfsd"
"A_55_P1972297",1.72216465173876,"Plk5"
"A_52_P490207",1.56856695524575,"2210404J11Rik"
"A_55_P1961099",1.42529707795147,"Atg4c"
"A_51_P304170",1.4021666652463,"Rtp4"
"A_55_P2022693",1.08701631048676,"Tcerg1"
"A_51_P182257",1.06398575779805,"1700019N12Rik"
"A_55_P2121856",0.928826197485421,"Ier5l"
"A_55_P2163353",0.784858380382486,"Sox3"
"A_55_P2037141",0.709287785106149,"Jsrp1"
"A_55_P2093232",0.612088477959434,"Myh7"
